Timestamp,Document Name,OCR Mode,Language,Engine Used,Fallback Used,Confidence,Processing Time (s)
2026-07-07 10:52:57,unnamed_document,auto,Auto,Custom AI,No,0.00%,4.48
2026-07-07 10:52:59,unnamed_document,auto,Auto,Custom AI,No,92.19%,2.26
2026-07-07 10:53:02,unnamed_document,auto,Auto,Custom AI,No,97.35%,2.57
2026-07-07 10:53:05,unnamed_document,auto,Auto,Custom AI,No,40.36%,3.57
2026-07-07 10:53:09,unnamed_document,auto,Auto,Custom AI,No,79.67%,3.20
2026-07-07 10:53:12,unnamed_document,auto,Auto,Custom AI,No,78.71%,3.10
2026-07-07 10:53:14,unnamed_document,auto,Auto,Custom AI,No,91.87%,2.11
2026-07-07 10:53:17,unnamed_document,auto,Auto,Custom AI,No,67.18%,3.20
2026-07-07 10:53:19,unnamed_document,auto,Auto,Custom AI,No,97.38%,2.30
2026-07-07 10:53:23,unnamed_document,auto,Auto,Custom AI,No,84.99%,3.30
2026-07-07 10:53:25,unnamed_document,auto,Auto,Custom AI,No,95.39%,2.31
2026-07-07 10:53:28,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.12
2026-07-07 10:53:30,unnamed_document,auto,Auto,Custom AI,No,98.18%,2.30
2026-07-07 10:53:34,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.24
2026-07-07 10:53:37,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.34
2026-07-07 10:53:41,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.79
2026-07-07 10:53:45,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.78
2026-07-07 10:53:48,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.73
2026-07-07 10:53:52,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.45
2026-07-07 10:53:55,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.58
2026-07-07 10:53:59,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.81
2026-07-07 10:54:03,unnamed_document,auto,Auto,Custom AI,No,0.00%,4.21
2026-07-07 10:54:32,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.23
2026-07-07 10:54:35,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.12
2026-07-07 10:54:38,unnamed_document,auto,Auto,Custom AI,No,82.79%,3.41
2026-07-07 10:54:41,unnamed_document,auto,Auto,Custom AI,No,0.00%,2.99
2026-07-07 10:54:44,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.03
2026-07-07 10:54:47,unnamed_document,auto,Auto,Custom AI,No,0.00%,3.13
